date,total_car_sales_M,unemployment__percent,gas_prices_index,consumer_price_index,housing_starts_K,fed_funds_percent
1/1/1976,12.814,7.9,47.1,55.8,1367,4.87
2/1/1976,13.34,7.7,46.8,55.9,1538,4.77
3/1/1976,13.378,7.6,46.3,56,1421,4.84
4/1/1976,13.223,7.7,45.8,56.1,1395,4.82
5/1/1976,12.962,7.4,46.1,56.4,1459,5.29
6/1/1976,13.051,7.6,46.7,56.7,1495,5.48
7/1/1976,13.466,7.8,46.8,57,1401,5.31
8/1/1976,12.953,7.8,46.9,57.3,1550,5.29
9/1/1976,13.61,7.6,47.2,57.6,1720,5.25
10/1/1976,12.823,7.7,47.8,57.9,1629,5.02
11/1/1976,13.332,7.8,48.2,58.1,1641,4.95
12/1/1976,14.527,7.8,48.3,58.4,1804,4.65
1/1/1977,14.396,7.5,48.5,58.7,1527,4.61
2/1/1977,14.709,7.6,49.2,59.3,1943,4.68
3/1/1977,15.17,7.4,49.7,59.6,2063,4.69
4/1/1977,15.135,7.2,49.7,60,1892,4.73
5/1/1977,14.984,7,50.1,60.2,1971,5.35
6/1/1977,14.952,7.2,49.8,60.5,1893,5.39
7/1/1977,14.641,6.9,49.4,60.8,2058,5.42
8/1/1977,14.859,7,49.4,61.1,2020,5.90
9/1/1977,14.65,6.8,49.6,61.3,1949,6.14
10/1/1977,14.9,6.8,50.1,61.6,2042,6.47
11/1/1977,14.799,6.8,50.5,62,2042,6.51
12/1/1977,15.175,6.4,50.9,62.3,2142,6.56
1/1/1978,13.704,6.4,50.9,62.7,1718,6.70
2/1/1978,14.363,6.3,50.6,63,1738,6.78
3/1/1978,15.166,6.3,50.8,63.4,2032,6.79
4/1/1978,16.198,6.1,50.5,63.9,2197,6.89
5/1/1978,16.298,6,50.5,64.5,2075,7.36
6/1/1978,16.348,5.9,50.7,65,2070,7.60
7/1/1978,15.528,6.2,51.1,65.5,2092,7.81
8/1/1978,16.045,5.9,51.8,65.9,1996,8.04
9/1/1978,14.641,6,52.6,66.5,1970,8.45
10/1/1978,15.845,5.8,53.5,67.1,1981,8.96
11/1/1978,15.484,5.9,54.4,67.5,2094,9.76
12/1/1978,15.338,6,55.4,67.9,2044,10.03
1/1/1979,15.061,5.9,56,68.5,1630,10.07
2/1/1979,15.321,5.9,56.4,69.2,1520,10.06
3/1/1979,15.275,5.8,59.1,69.9,1847,10.09
4/1/1979,14.742,5.8,62.2,70.6,1748,10.01
5/1/1979,14.374,5.6,65.3,71.4,1876,10.24
6/1/1979,12.744,5.7,69.1,72.2,1913,10.29
7/1/1979,14.112,5.7,72.7,73,1760,10.47
8/1/1979,14.344,6,76,73.7,1778,10.94
9/1/1979,14.292,5.9,78.8,74.4,1832,11.43
10/1/1979,13.112,6,80.4,75.2,1681,13.77
11/1/1979,13.025,5.9,81.8,76,1524,13.18
12/1/1979,13.496,6,83.9,76.9,1498,13.78
1/1/1980,14.439,6.3,89.8,78,1341,13.82
2/1/1980,13.276,6.3,94.3,79,1350,14.13
3/1/1980,12.077,6.3,99.7,80.1,1047,17.19
4/1/1980,10.444,6.9,98.7,80.9,1051,17.61
5/1/1980,9.54,7.5,98.7,81.7,927,10.98
6/1/1980,10.449,7.6,98.2,82.5,1196,9.47
7/1/1980,11.664,7.8,97.9,82.6,1269,9.03
8/1/1980,11.154,7.7,97.8,83.2,1436,9.61
9/1/1980,10.912,7.5,97.8,83.9,1471,10.87
10/1/1980,11.412,7.5,98.6,84.7,1523,12.81
11/1/1980,11.257,7.5,98.8,85.6,1510,15.85
12/1/1980,10.939,7.2,99.3,86.4,1482,18.90
1/1/1981,11.282,7.5,103.6,87.2,1547,19.08
2/1/1981,12.351,7.4,110.1,88,1246,15.93
3/1/1981,12.427,7.4,113,88.6,1306,14.70
4/1/1981,10.49,7.2,110.6,89.1,1360,15.72
5/1/1981,10.354,7.5,109,89.7,1140,18.52
6/1/1981,10.415,7.5,107.8,90.5,1045,19.10
7/1/1981,10.428,7.2,107.2,91.5,1041,19.04
8/1/1981,12.681,7.4,107.2,92.2,940,17.82
9/1/1981,11.08,7.6,107.7,93.1,911,15.87
10/1/1981,9.418,7.9,108.4,93.4,873,15.08
11/1/1981,9.494,8.3,109,93.8,837,13.31
12/1/1981,9.055,8.5,108.6,94.1,910,12.37
1/1/1982,10.285,8.6,108.2,94.4,843,13.22
2/1/1982,10.924,8.9,106.1,94.7,866,14.78
3/1/1982,10.651,9,103.6,94.7,931,14.68
4/1/1982,9.747,9.3,97.2,95,917,14.94
5/1/1982,11.103,9.4,97.8,95.9,1025,14.45
6/1/1982,9.613,9.6,102.8,97,902,14.15
